328	1	414
370	4	368
511	1	353
57	4	191
6	0	676
326	2	272
472	2	874
921	0	60
62	4	51
255	4	180
91	3	107
216	0	217
474	2	4
217	2	98
153	1	613
413	2	605
480	1	413
215	2	682
340	2	293
795	2	770
494	0	440
850	2	467
115	4	450
927	2	217
315	4	90
520	4	6
803	2	346
708	2	943
684	2	405
247	4	540
293	2	474
623	2	621
340	0	454
576	1	236
532	1	6
468	1	10
146	4	145
446	4	24
937	2	657
293	4	292
175	2	312
290	0	60
271	0	150
529	2	160
184	0	185
419	2	262
918	2	847
614	2	110
403	2	51
347	2	572
396	2	434
5	3	115
632	2	260
398	0	22
4	3	285
264	2	722
694	1	540
707	2	429
524	2	863
60	4	210
446	4	655
839	2	711
200	1	726
112	0	24
84	2	622
25	1	24
543	2	553
59	1	874
6	3	288
195	2	354
414	3	533
102	0	180
390	2	318
722	2	145
269	3	527
756	1	854
287	2	395
584	2	151
221	2	417
195	4	85
87	2	287
38	1	821
60	1	452
735	2	739
428	1	803
357	0	18
829	2	862
656	0	119
144	2	112
342	2	428
110	1	634
90	0	480
6	3	440
545	0	4
594	2	342
339	2	286
567	0	566
739	2	783
195	1	869
76	2	242
461	2	586
4	1	369
628	0	6
346	2	430
105	4	103
692	2	456
8	3	782
98	2	0
130	0	546
382	2	179
622	2	451
594	2	873
4	1	517
762	2	393
501	2	707
251	2	678
540	2	914
84	4	638
293	2	236
576	0	41
8	1	294
784	0	199
358	2	927
359	0	2
325	1	579
683	1	681
731	1	348
315	3	90
525	3	354
430	0	114
135	2	816
130	0	576
153	4	292
939	2	550
130	0	573
66	3	71
8	3	443
602	2	100
113	2	877
209	1	203
116	1	89
44	0	41
0	2	217
4	4	558
784	3	199
812	0	6
18	1	444
101	2	586
4	0	39
60	1	551
406	1	548
621	2	483
250	2	189
123	0	334
938	2	909
24	4	640
268	4	429
79	4	658
497	2	101
558	4	734
6	1	403
847	2	689
205	4	510
301	0	571
813	4	712
706	2	415
6	1	555
162	3	85
462	2	118
18	0	12
283	2	42
899	1	292
168	2	191
254	2	72
527	0	4
195	2	792
8	4	381
579	2	759
316	1	272
301	0	579
795	1	886
429	4	90
499	0	79
303	1	261
